"subject_id","age","sex","harshness","universe","looplabel","uni_num","trial","armpick","runlength","rewardfound","switch"
"355",21,"0","easy","variable","loop1",2,12,"two",0,68,0
"355",21,"0","easy","variable","loop1",2,13,"two",1,69,0
"355",21,"0","easy","variable","loop1",2,14,"two",2,57,1
"355",21,"0","easy","variable","loop1",2,15,"three",0,43,1
"355",21,"0","easy","variable","loop1",2,16,"two",0,76,0
"355",21,"0","easy","variable","loop1",2,17,"two",1,69,0
"355",21,"0","easy","variable","loop1",2,18,"two",2,60,0
"355",21,"0","easy","variable","loop1",2,19,"two",3,48,1
"355",21,"0","easy","variable","loop1",2,20,"three",0,46,1
"355",21,"0","easy","variable","loop1",2,21,"four",0,35,1
"355",21,"0","easy","variable","loop1",2,22,"one",0,30,1
"355",21,"0","easy","variable","loop1",2,23,"two",0,61,0
"355",21,"0","easy","variable","loop1",2,24,"two",1,60,0
"355",21,"0","easy","variable","loop1",2,25,"two",2,57,0
"355",21,"0","easy","variable","loop1",2,26,"two",3,49,0
"355",21,"0","easy","variable","loop1",2,27,"two",4,53,0
"355",21,"0","easy","variable","loop1",2,28,"two",5,49,1
"355",21,"0","easy","variable","loop1",2,29,"three",0,62,0
"355",21,"0","easy","variable","loop1",2,30,"three",1,42,1
"355",21,"0","easy","variable","loop1",2,31,"four",0,71,0
"355",21,"0","easy","variable","loop1",2,32,"four",1,80,1
"355",21,"0","easy","variable","loop1",2,33,"one",0,21,1
"355",21,"0","easy","variable","loop1",2,34,"four",0,60,0
"355",21,"0","easy","variable","loop1",2,35,"four",1,75,0
"355",21,"0","easy","variable","loop1",2,36,"four",2,77,0
"355",21,"0","easy","variable","loop1",2,37,"four",3,80,0
"355",21,"0","easy","variable","loop1",2,38,"four",4,82,0
"355",21,"0","easy","variable","loop1",2,39,"four",5,55,0
"355",21,"0","easy","variable","loop1",2,40,"four",6,58,0
"355",21,"0","easy","variable","loop1",2,41,"four",7,68,0
"355",21,"0","easy","variable","loop1",2,42,"four",8,80,0
"355",21,"0","easy","variable","loop1",2,43,"four",9,74,0
"355",21,"0","easy","variable","loop1",2,44,"four",10,64,1
"355",21,"0","easy","variable","loop1",2,45,"two",0,29,1
"355",21,"0","easy","variable","loop1",2,46,"four",0,47,1
"355",21,"0","easy","variable","loop1",2,47,"three",0,70,0
"355",21,"0","easy","variable","loop1",2,48,"three",1,72,0
"355",21,"0","easy","variable","loop1",2,49,"three",2,68,0
"355",21,"0","easy","variable","loop1",2,50,"three",3,63,1
"355",21,"0","easy","variable","loop1",2,51,"two",0,13,1
"355",21,"0","easy","variable","loop1",2,52,"three",0,55,1
"355",21,"0","easy","variable","loop1",2,53,"four",0,75,0
"355",21,"0","easy","variable","loop1",2,54,"four",1,91,0
"355",21,"0","easy","variable","loop1",2,55,"four",2,98,0
"355",21,"0","easy","variable","loop1",2,56,"four",3,88,0
"355",21,"0","easy","variable","loop1",2,57,"four",4,62,0
"355",21,"0","easy","variable","loop1",2,58,"four",5,49,0
"355",21,"0","easy","variable","loop1",2,59,"four",6,57,1
"355",21,"0","easy","variable","loop1",2,60,"two",0,30,1
"355",21,"0","easy","variable","loop1",2,61,"four",0,68,1
"355",21,"0","easy","variable","loop1",2,62,"one",0,29,1
"355",21,"0","easy","variable","loop1",2,63,"four",0,75,1
"355",21,"0","easy","variable","loop1",2,64,"three",0,31,1
"355",21,"0","easy","variable","loop1",2,65,"four",0,75,0
"355",21,"0","easy","variable","loop1",2,66,"four",1,82,0
"355",21,"0","easy","variable","loop1",2,67,"four",2,84,0
"355",21,"0","easy","variable","loop1",2,68,"four",3,72,0
"355",21,"0","easy","variable","loop1",2,69,"four",4,79,0
"355",21,"0","easy","variable","loop1",2,70,"four",5,74,0
"355",21,"0","easy","variable","loop1",2,71,"four",6,77,0
"355",21,"0","easy","variable","loop1",2,72,"four",7,67,0
"355",21,"0","easy","variable","loop1",2,73,"four",8,63,0
"355",21,"0","easy","variable","loop1",2,74,"four",9,65,1
"355",21,"0","easy","variable","loop1",2,75,"two",0,49,NA
"355",21,"0","easy","stable","loop1",3,1,"three",0,58,1
"355",21,"0","easy","stable","loop1",3,2,"four",0,80,1
"355",21,"0","easy","stable","loop1",3,3,"two",0,26,1
"355",21,"0","easy","stable","loop1",3,4,"one",0,6,0
"355",21,"0","easy","stable","loop1",3,5,"one",1,9,1
"355",21,"0","easy","stable","loop1",3,6,"three",0,60,0
"355",21,"0","easy","stable","loop1",3,7,"three",1,60,0
"355",21,"0","easy","stable","loop1",3,8,"three",2,60,0
"355",21,"0","easy","stable","loop1",3,9,"three",3,64,0
"355",21,"0","easy","stable","loop1",3,10,"three",4,62,0
"355",21,"0","easy","stable","loop1",3,11,"three",5,59,0
"355",21,"0","easy","stable","loop1",3,12,"three",6,53,1
"355",21,"0","easy","stable","loop1",3,13,"four",0,80,0
"355",21,"0","easy","stable","loop1",3,14,"four",1,72,0
"355",21,"0","easy","stable","loop1",3,15,"four",2,80,0
"355",21,"0","easy","stable","loop1",3,16,"four",3,89,0
"355",21,"0","easy","stable","loop1",3,17,"four",4,87,0
"355",21,"0","easy","stable","loop1",3,18,"four",5,83,0
"355",21,"0","easy","stable","loop1",3,19,"four",6,82,0
"355",21,"0","easy","stable","loop1",3,20,"four",7,86,0
"355",21,"0","easy","stable","loop1",3,21,"four",8,86,0
"355",21,"0","easy","stable","loop1",3,22,"four",9,89,0
"355",21,"0","easy","stable","loop1",3,23,"four",10,85,0
"355",21,"0","easy","stable","loop1",3,24,"four",11,77,0
"355",21,"0","easy","stable","loop1",3,25,"four",12,84,0
"355",21,"0","easy","stable","loop1",3,26,"four",13,84,1
"355",21,"0","easy","stable","loop1",3,27,"two",0,31,0
"355",21,"0","easy","stable","loop1",3,28,"two",1,36,1
"355",21,"0","easy","stable","loop1",3,29,"four",0,86,0
"355",21,"0","easy","stable","loop1",3,30,"four",1,82,0
"355",21,"0","easy","stable","loop1",3,31,"four",2,90,1
"355",21,"0","easy","stable","loop1",3,32,"one",0,15,1
"355",21,"0","easy","stable","loop1",3,33,"four",0,80,0
"355",21,"0","easy","stable","loop1",3,34,"four",1,80,0
"355",21,"0","easy","stable","loop1",3,35,"four",2,77,0
"355",21,"0","easy","stable","loop1",3,36,"four",3,77,0
"355",21,"0","easy","stable","loop1",3,37,"four",4,80,0
"355",21,"0","easy","stable","loop1",3,38,"four",5,82,0
"355",21,"0","easy","stable","loop1",3,39,"four",6,85,0
"355",21,"0","easy","stable","loop1",3,40,"four",7,84,0
"355",21,"0","easy","stable","loop1",3,41,"four",8,85,0
"355",21,"0","easy","stable","loop1",3,42,"four",9,88,0
"355",21,"0","easy","stable","loop1",3,43,"four",10,87,0
"355",21,"0","easy","stable","loop1",3,44,"four",11,82,0
"355",21,"0","easy","stable","loop1",3,45,"four",12,91,0
"355",21,"0","easy","stable","loop1",3,46,"four",13,87,0
"355",21,"0","easy","stable","loop1",3,47,"four",14,94,0
"355",21,"0","easy","stable","loop1",3,48,"four",15,89,0
"355",21,"0","easy","stable","loop1",3,49,"four",16,94,0
"355",21,"0","easy","stable","loop1",3,50,"four",17,90,0
"355",21,"0","easy","stable","loop1",3,51,"four",18,85,0
"355",21,"0","easy","stable","loop1",3,52,"four",19,87,0
"355",21,"0","easy","stable","loop1",3,53,"four",20,86,0
"355",21,"0","easy","stable","loop1",3,54,"four",21,83,0
"355",21,"0","easy","stable","loop1",3,55,"four",22,90,0
"355",21,"0","easy","stable","loop1",3,56,"four",23,89,0
"355",21,"0","easy","stable","loop1",3,57,"four",24,89,0
"355",21,"0","easy","stable","loop1",3,58,"four",25,78,0
"355",21,"0","easy","stable","loop1",3,59,"four",26,85,0
"355",21,"0","easy","stable","loop1",3,60,"four",27,89,0
"355",21,"0","easy","stable","loop1",3,61,"four",28,89,0
"355",21,"0","easy","stable","loop1",3,62,"four",29,94,0
"355",21,"0","easy","stable","loop1",3,63,"four",30,95,0
"355",21,"0","easy","stable","loop1",3,64,"four",31,91,0
"355",21,"0","easy","stable","loop1",3,65,"four",32,96,0
"355",21,"0","easy","stable","loop1",3,66,"four",33,93,0
"355",21,"0","easy","stable","loop1",3,67,"four",34,91,0
"355",21,"0","easy","stable","loop1",3,68,"four",35,88,0
"355",21,"0","easy","stable","loop1",3,69,"four",36,86,0
"355",21,"0","easy","stable","loop1",3,70,"four",37,93,0
"355",21,"0","easy","stable","loop1",3,71,"four",38,95,0
"355",21,"0","easy","stable","loop1",3,72,"four",39,97,0
"355",21,"0","easy","stable","loop1",3,73,"four",40,93,0
"355",21,"0","easy","stable","loop1",3,74,"four",41,92,0
"355",21,"0","easy","stable","loop1",3,75,"four",42,90,1
"355",21,"0","harsh","stable","loop1",4,1,"one",0,9,1
"355",21,"0","harsh","stable","loop1",4,2,"three",0,54,0
"355",21,"0","harsh","stable","loop1",4,3,"three",1,59,1
"355",21,"0","harsh","stable","loop1",4,4,"two",0,31,1
